bytes	human_size	percent_of_backend	path
27199608319	26GiB	100.00%	backend/ml_models
201947	198KiB	0.00%	backend/app
29715	30KiB	0.00%	backend/logs
26168	26KiB	0.00%	backend/tests
12361	13KiB	0.00%	backend/scripts
940	940B	0.00%	backend/.env.example
638	638B	0.00%	backend/requirements.txt
476	476B	0.00%	backend/Dockerfile
356	356B	0.00%	backend/README.md
230	230B	0.00%	backend/.dockerignore
171	171B	0.00%	backend/pytest.ini
167	167B	0.00%	backend/requirements-dev.txt
117	117B	0.00%	backend/setup.py
110	110B	0.00%	backend/alembic.ini
